institution_id,institution_name,industry
1,Lockheed Martin Advanced Energy Storage,Energy
2,New York City Teaching Fellows,Education
3,American Journal Experts,Publishing
4,University of Washington,Postdoc
5,University of Rochester,TT Prof
6,DuPont,Chemicals
7,The Chemours Company,Chemicals
8,The Aerospace Corporation,Aerospace
9,Beghou Consulting,Consulting
10,Chicago Public Schools,Education
11,Sendgrid,Data Science
12,"Finnegan, Henderson, Farabow, Garrett & Dunner, LLP",Law
13,University of West Georgia,PUI
14,Illumina,Biotechnology
15,Sun Catalytix,Energy
